Env,Layer,System,Host_or_Endpoint,Host_Type,Host_Seq,Zone,Component,Direction,Protocol_Port,Hosting,Sizing_RAM,Sizing_CPU,Sizing_Storage_or_Capacity,Growth,Project,Status_or_Notes,Endpoint_Group
DEV,Platform,CP Integration Hub,OCPQ shared OpenShift cluster - RD DEV namespace,Descriptive,1 of 1,APPLICATION,INTEGRATION_HUB,Bidirectional,TBD,BBH OpenShift,4 GB,2,10GB,TBD,SEI,Exact namespace and pod sizing TBD,OCPQ shared OpenShift cluster - RD DEV namespace
DEV,File System,CPHUB Landing Share,\\rdwebfs.testbbh.com\cphub$,Descriptive,1 of 1,APPLICATION,FILE_SHARE,Internal,TBD,BBH,Not Applicable,Not Applicable,20GB,TBD,SEI,Regional landing share,\\rdwebfs.testbbh.com\cphub$
DEV,Database,IMDS,dvlimdsdb.testbbh.com,Hostname,1 of 2,DATA,DATA_HUB,Internal,Oracle JDBC port TBD,BBH,62 GB,8,6 TB,Minimal Growth,SEI,New SEI DEV environment,dvlimdsdb.testbbh.com; dvlimdsapp.testbbh.com
DEV,Database,IMDS,dvlimdsapp.testbbh.com,Hostname,2 of 2,DATA,DATA_HUB,Internal,Oracle JDBC port TBD,BBH,62 GB,8,6 TB,Minimal Growth,SEI,New SEI DEV environment,dvlimdsdb.testbbh.com; dvlimdsapp.testbbh.com
DEV,Database,PBDW,dvlpbdb1.testbbh.com,Hostname,1 of 2,DATA,DATA_HUB,Internal,TBD,BBH,62 GB,8,4 TB,Minimal Growth,SEI,New SEI DEV sizing populated as supplied,dvlpbdb1.testbbh.com; rtlodiapp3t.testbbh.com
DEV,Database,PBDW,rtlodiapp3t.testbbh.com,Hostname,2 of 2,DATA,DATA_HUB,Internal,TBD,BBH,62 GB,8,4 TB,Minimal Growth,SEI,New SEI DEV sizing populated as supplied,dvlpbdb1.testbbh.com; rtlodiapp3t.testbbh.com
DEV,Consumer,Pivotal,QCWPIVDEVSEI2.testbbh.com,Hostname,1 of 3,APPLICATION,CONSUMERS,Outbound,TBD,BBH,16 GB,4,C: 100 GB; D: 250 GB,Minimal Growth,SEI,Sizing populated as supplied,QCWPIVDEVSEI2.testbbh.com; QCWPIVDEVSEI4.testbbh.com; QCWPIVDEVSEI5.testbbh.com
DEV,Consumer,Pivotal,QCWPIVDEVSEI4.testbbh.com,Hostname,2 of 3,APPLICATION,CONSUMERS,Outbound,TBD,BBH,16 GB,4,C: 100 GB; D: 250 GB,Minimal Growth,SEI,Sizing populated as supplied,QCWPIVDEVSEI2.testbbh.com; QCWPIVDEVSEI4.testbbh.com; QCWPIVDEVSEI5.testbbh.com
DEV,Consumer,Pivotal,QCWPIVDEVSEI5.testbbh.com,Hostname,3 of 3,APPLICATION,CONSUMERS,Outbound,TBD,BBH,16 GB,4,C: 100 GB; D: 250 GB,Minimal Growth,SEI,Sizing populated as supplied,QCWPIVDEVSEI2.testbbh.com; QCWPIVDEVSEI4.testbbh.com; QCWPIVDEVSEI5.testbbh.com
DEV,Consumer,CRD,Azure-hosted vendor application,Descriptive,1 of 1,APPLICATION,CONSUMERS,Outbound,TBD,Vendor Azure,Vendor Managed,Vendor Managed,Vendor Managed,TBD,SEI,CRD sizing TBD,Azure-hosted vendor application
DEV,Consumer,Client Portal,dvltasap235.testbbh.com,Hostname,1 of 1,APPLICATION,CONSUMERS,Outbound,TBD,BBH RHEL,12 GB,2,350 GB,TBD,SEI,New SEI DEV host,dvltasap235.testbbh.com
DEV,Consumer,PORT,New PORT test instance,Descriptive,1 of 1,APPLICATION,CONSUMERS,Outbound,TBD,Bloomberg vendor,Vendor Managed,Vendor Managed,25 accounts; 3000 securities,TBD,SEI,Smaller than production limits,New PORT test instance
DEV,Platform,Momentum MFT,Momentum MFT engine,Descriptive,1 of 1,DMZ,DATA_MOVEMENT,Internal,TBD,BBH MFT,Not Applicable,Not Applicable,Not Applicable,TBD,SHARED,Moves drop zone to landing - rename-atomic,Momentum MFT engine
DEV,Platform,PingFederate,ping-idp-01.bbh.com,Hostname,1 of 2,CORP,IDENTITY,Bidirectional,HTTPS 443,BBH,TBD,TBD,TBD,TBD,SHARED,User SSO to SWP desktop; SAML/OIDC federation to SEI,ping-idp-01.bbh.com; ping-idp-02.bbh.com
DEV,Platform,PingFederate,ping-idp-02.bbh.com,Hostname,2 of 2,CORP,IDENTITY,Bidirectional,HTTPS 443,BBH,TBD,TBD,TBD,TBD,SHARED,User SSO to SWP desktop; SAML/OIDC federation to SEI,ping-idp-01.bbh.com; ping-idp-02.bbh.com
DEV,Platform,OCP Ingress,ocpq router - ops/admin route only,Descriptive,1 of 1,APPLICATION,INTEGRATION_HUB,Inbound,HTTPS 443,BBH OpenShift,Not Applicable,Not Applicable,Not Applicable,TBD,SEI,Operations access only - users never traverse hub,ocpq router - ops/admin route only
DEV,Platform,Observability Stack,Splunk HEC,Service,1 of 3,CORP,IDENTITY,Internal,8088,BBH,TBD,TBD,TBD,TBD,SHARED,Hub telemetry and secrets,Splunk HEC; Vault; OIDC
DEV,Platform,Observability Stack,Vault,Service,2 of 3,CORP,IDENTITY,Internal,8088,BBH,TBD,TBD,TBD,TBD,SHARED,Hub telemetry and secrets,Splunk HEC; Vault; OIDC
DEV,Platform,Observability Stack,OIDC,Service,3 of 3,CORP,IDENTITY,Internal,8088,BBH,TBD,TBD,TBD,TBD,SHARED,Hub telemetry and secrets,Splunk HEC; Vault; OIDC
DEV,External API,SEI API Proxy Egress,192.200.8.0/24,IP/CIDR,1 of 3,UNTRUSTED,EXTERNAL,Outbound,HTTPS 443,BBH to SEI,Not Applicable,Not Applicable,Not Applicable,TBD,SEI,IP ranges to be whitelisted by SEI,192.200.8.0/24; 192.200.5.0/24; 204.136.26.0/24
DEV,External API,SEI API Proxy Egress,192.200.5.0/24,IP/CIDR,2 of 3,UNTRUSTED,EXTERNAL,Outbound,HTTPS 443,BBH to SEI,Not Applicable,Not Applicable,Not Applicable,TBD,SEI,IP ranges to be whitelisted by SEI,192.200.8.0/24; 192.200.5.0/24; 204.136.26.0/24
DEV,External API,SEI API Proxy Egress,204.136.26.0/24,IP/CIDR,3 of 3,UNTRUSTED,EXTERNAL,Outbound,HTTPS 443,BBH to SEI,Not Applicable,Not Applicable,Not Applicable,TBD,SEI,IP ranges to be whitelisted by SEI,192.200.8.0/24; 192.200.5.0/24; 204.136.26.0/24
DEV,External SFTP,SEI to BBH SFTP,qcsecureftp.bbh.com,Hostname,1 of 1,DMZ,DATA_MOVEMENT,Inbound,SFTP 22,BBH MFT,Not Applicable,Not Applicable,Not Applicable,TBD,SEI,SEI source IPs whitelisted by BBH,qcsecureftp.bbh.com
DEV,External API,SEI SWP Platform,SEI batch + api endpoints (vendor side),Descriptive,1 of 1,UNTRUSTED,EXTERNAL,Inbound,HTTPS 443,Vendor SaaS,Not Applicable,Not Applicable,Not Applicable,TBD,SEI,Vendor platform - no BBH control,SEI batch + api endpoints (vendor side)
